Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 4 chains, each with 6000 iterations (first 1000 discarded), n.thin = 5
 n.sims = 4000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 13.8 and DIC = 21.3
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 4 chains, each with 6000 iterations (first 1000 discarded), n.thin = 5
 n.sims = 4000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
S[1]        7.171   6.619  1.000  2.000  5.000 10.000 25.000 1.445    10
S[2]       11.537  10.600  2.000  2.000  4.000 23.000 36.000 2.520     5
S[3]        7.950   6.272  2.000  3.000  6.000 15.000 24.000 5.212     4
S[4]        9.664   6.405  2.000  3.000 13.000 15.000 22.000 3.293     5
S[5]        9.896   8.406  2.000  2.000  7.000 16.000 27.000 2.763     5
S[6]       17.044  12.755  2.000  6.000 15.000 24.000 39.000 1.521    10
S[7]       10.749  10.805  2.000  2.000  5.000 17.000 37.000 2.289     6
S[8]        9.409  10.200  1.000  2.000  3.000 24.000 27.000 4.372     4
S[9]        8.043   8.199  2.000  2.000  4.000 14.000 26.000 3.107     5
S[10]      18.036  13.215  2.000  6.000 15.000 27.000 39.000 2.500     5
S[11]      10.389  12.454  1.000  2.000  3.000 15.000 37.000 1.654     8
S[12]      18.554  13.118  2.000  6.000 18.000 29.000 39.000 3.595     5
S[13]      19.687  12.914  2.000  7.000 17.000 30.500 39.000 2.156     6
S[14]      19.385  14.124  2.000  4.000 21.000 35.000 39.000 3.563     5
beta[1]     0.081   0.170 -0.179  0.000  0.010  0.130  0.536 1.151    65
beta[2]     0.093   0.159 -0.145  0.000  0.039  0.166  0.491 1.119   130
beta[3]     0.316   0.251  0.000  0.124  0.237  0.422  0.899 1.473    11
beta[4]     0.358   0.292  0.000  0.145  0.323  0.522  1.059 1.449    11
beta[5]     0.106   0.168 -0.159  0.000  0.091  0.206  0.515 1.209    16
beta[6]     0.014   0.244 -0.478 -0.053  0.000  0.113  0.406 1.299    15
beta[7]    -0.007   0.032 -0.110  0.000  0.000  0.000  0.045 1.167    41
beta[8]     0.138   0.066  0.000  0.097  0.131  0.187  0.259 1.684     8
beta[9]     0.102   0.103 -0.076  0.000  0.104  0.186  0.273 1.347    11
beta[10]   -0.008   0.116 -0.327  0.000  0.000  0.067  0.150 1.214    18
